timestamp_iso,event,sensor_index,value,duration_sec
2025-08-14T14:35:49.757877,START,2,-10.0,
2025-08-14T14:35:49.779945,END,2,1436.0,0.022
2025-08-14T14:36:26.744621,START,2,-10.0,
2025-08-14T14:36:26.915582,END,2,1351.0,0.171
2025-08-14T14:37:23.313533,START,2,-10.0,
2025-08-14T14:37:24.335881,END,2,1426.0,1.022
2025-08-14T14:41:37.937387,START,2,-10.0,
2025-08-14T14:41:38.961693,END,2,1426.0,1.024
2025-08-14T14:44:13.841614,START,2,-10.0,
2025-08-14T14:44:13.863678,END,2,1398.0,0.022
2025-08-14T14:48:25.905576,START,2,-10.0,
2025-08-14T14:48:25.928753,END,2,1389.0,0.023
2025-08-14T14:56:21.710559,START,2,-10.0,
2025-08-14T14:56:22.737767,END,2,1375.0,1.027
2025-08-14T14:57:10.408455,START,2,-10.0,
2025-08-14T14:57:11.431782,END,2,1375.0,1.023
2025-08-14T15:00:21.966724,START,2,-10.0,
2025-08-14T15:00:21.988827,END,2,1267.0,0.022
2025-08-14T15:01:34.553510,START,2,-10.0,
2025-08-14T15:01:34.725506,END,2,1497.0,0.172
2025-08-14T15:16:44.881220,START,2,-10.0,
2025-08-14T15:16:46.075588,END,2,1281.0,1.194
2025-08-14T15:17:07.936331,START,2,-10.0,
2025-08-14T15:17:08.960655,END,2,1408.0,1.024
2025-08-14T15:19:35.521620,START,2,-10.0,
2025-08-14T15:19:36.545876,END,2,1342.0,1.024
2025-08-14T16:12:16.844757,START,0,-10.0,
2025-08-14T16:12:17.015739,END,0,863.0,0.171
2025-08-14T18:55:38.891038,START,2,-10.0,
2025-08-14T18:55:39.915355,END,2,1605.0,1.024
2025-08-14T19:11:50.180230,START,2,-10.0,
2025-08-14T19:11:50.350978,END,2,1581.0,0.171
2025-08-14T19:18:37.185935,START,2,-10.0,
2025-08-14T19:18:38.209068,END,2,1389.0,1.023
2025-08-14T19:19:24.718028,START,2,-10.0,
2025-08-14T19:19:24.882784,END,2,1286.0,0.165
2025-08-14T19:26:41.920103,START,2,-10.0,
2025-08-14T19:26:42.943427,END,2,1332.0,1.023
2025-08-14T19:35:01.741446,START,2,-10.0,
2025-08-14T19:35:01.913472,END,2,1492.0,0.172
2025-08-14T19:37:07.719578,START,2,-10.0,
2025-08-14T19:37:07.891502,END,2,1591.0,0.172
2025-08-14T19:47:45.517496,START,2,-10.0,
2025-08-14T19:47:46.704549,END,2,1572.0,1.187
2025-08-14T19:54:12.892589,START,2,-10.0,
2025-08-14T19:54:13.063590,END,2,1506.0,0.171
2025-08-14T19:54:14.428867,START,2,-10.0,
2025-08-14T19:54:14.450926,END,2,1440.0,0.022
2025-08-14T20:02:59.324146,START,0,-10.0,
2025-08-14T20:03:00.347371,END,0,868.0,1.023
2025-08-14T21:26:44.954776,START,1,-10.0,
2025-08-14T21:26:44.954776,START,2,-10.0,
2025-08-14T21:26:45.979388,END,1,859.0,1.025
2025-08-14T21:26:45.979388,END,2,1018.0,1.025
2025-08-14T22:51:57.740592,START,2,-10.0,
2025-08-14T22:51:57.904339,END,2,1060.0,0.164
2025-08-14T23:04:09.171743,START,2,-10.0,
2025-08-14T23:04:10.195316,END,2,1074.0,1.024
2025-08-14T23:31:47.619277,START,2,-10.0,
2025-08-14T23:31:48.642622,END,2,1051.0,1.023
2025-08-14T23:32:46.630327,START,2,-10.0,
2025-08-14T23:32:47.653655,END,2,1131.0,1.023
2025-08-14T23:33:29.131362,START,2,-10.0,
2025-08-14T23:33:30.153668,END,2,995.0,1.022
2025-08-14T23:33:38.087320,START,2,-10.0,
2025-08-14T23:33:39.109674,END,2,943.0,1.022
2025-08-14T23:41:36.596740,START,2,-10.0,
2025-08-14T23:41:36.767846,END,2,924.0,0.171
2025-08-14T23:41:45.198915,START,2,-10.0,
2025-08-14T23:41:46.221048,END,2,826.0,1.022
2025-08-14T23:42:06.183711,START,2,-10.0,
2025-08-14T23:42:07.207075,END,2,1159.0,1.023
2025-08-14T23:42:25.082808,START,2,-10.0,
2025-08-14T23:42:25.253782,END,2,1018.0,0.171
2025-08-14T23:44:49.357886,START,2,-10.0,
2025-08-14T23:44:50.380206,END,2,891.0,1.022
2025-08-14T23:46:31.713191,START,2,-10.0,
